Project Name,Checkpoint Name,Created On,EncodedFileName,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,20-Dec-16,e5c858d1e9b13df34c2ab5a2faaf3da33e2ace0d8d26473c96ec9c1d9a785289,135,77,0,0,3,3.33,2.7,4.5,18,5,29,4,1.78,1.6,13,11,35,16,2,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5d5489bc0991c5221d27acd7373fc01e2d236b4db4a2c2ef288a73787d987981,92,56,0,0,2,3.5,5,4.14,75,3,30,3,1.59,1.43,12,10,23,11,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c02a8b252ff497aa97df44fcbbeba1d50ba223a9cc8d566a933be8e98a5e086e,96,57,0,0,2,3,5.83,5,86,3,34,3,1.51,1.5,13,10,26,8,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,befa58b1e03451678854f958e6e4334425691b139ebf4c6a51473f306dba97d3,87,50,0,0,2,3,4.5,4,77,3,28,3,1.48,1.5,12,10,20,8,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,d4c40ea2a51fffb6e76bfff6b62f863d22563d0b1e05b03d834779f7ebbcc42a,29,12,0,0,1,1,2,3,22,1,24,2,0.75,1,6,3,3,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5b513b397dff0bc02d3c473699c79fb6b8475472e2f3d81486e5e984fb5083d1,85,46,0,0,2,3,4.67,3.83,28,2,32,3,1.46,1.33,10,10,21,5,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,3ee1f5171c8339e1ef943d11ff1d93573a44fd42e416b6767e9bdee40421bea5,89,48,0,0,2,3,4.5,4,79,3,26,3,1.54,1.5,10,10,20,8,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,382c52055e1dd1eba275d3847edd22217f8522b3e1aa488dbac4966ab53c045d,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8087216630f84de87eb9eb6f4fa8f27c8291b5966e1332edd9eff685388284e7,102,69,8.8,0,1,3,11.33,18.33,32,16,45,4,2.12,9,11,3,31,15,9,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,0b485b934f0549c387df8295cecf15ce2b19c093dd9b250c22a5544ce3d205bd,38,17,42.1,0,0,0,0,0,,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,461f62284f7ec1970d9e8b843aa64d6b30fd8a699f992a1076accb0c43c2f315,68,83,0,0,1,18,3.39,1.72,8,1,52,2,1.69,1,4,18,61,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5e8f687edebf5563d51750fe7093d076b033feea46ca0d1a693f5eeb58a1f9e5,31,32,0,0,1,8,0.25,1,21,3,8,3,1.56,1.14,4,8,18,2,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,6755ed5a254178de6d3b8dbfcb0a7d2718e571f0a191475af2c6e1e0130abf17,16,14,0,0,1,4,0,0.25,7,1,7,2,1.29,1,3,4,7,0,0,0,0,0,0,0
