File,CID,Severity,Checker,Status
/Maxwell/Main/HzApplications/Sonic/CementEvaluation/CEVAL_Calibration/CEVAL_CaliCompModuleCommon.h,14177,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/CementEvaluation/CEVAL_Calibration/CEVAL_CaliCompModuleCommon.h,14178,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/CommonData/CommonData/SonicWaveformArray.cpp,14179,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/Fada/Fada/SonicFadaAlgorithmSF.cpp,14180,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/Fada/Fada/SonicFadaAlgorithmSF.cpp,14181,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/Fada/Fada/SonicFadaAlgorithmSF.cpp,14182,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/Fada/Fada/SonicFadaAlgorithmSF.cpp,14183,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/SSLT/Computation/DeltaT/Core/SsltClusterCore.cpp,14191,Minor,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/SSLT/Computation/DeltaT/Core/SsltClusterCore.cpp,14192,Minor,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TrajectoryCalculator/TrajectoryCalc.cpp,14203,Minor,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TrajectoryCalculator/TrajectoryCalc.cpp,14206,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TrajectoryCalculator/TrajectoryCalc.cpp,14208,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TrajectoryCalculator/TrajectoryCalc.cpp,14217,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/DepthTVDConverter.cpp,14218,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDRepresentation.cpp,14219,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDRepresentation.cpp,14220,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDRepresentation.cpp,14221,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDRepresentation.cpp,14222,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14223,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14224,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14225,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14226,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14227,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/Survey/TVDTransformer/TVDTransformerImpl.cpp,14228,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/ToolString/ToolStringHandler/ComputationContainer.cpp,14229,Minor,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/ToolString/ToolStringHandler/ConnectedEquipments.cpp,14230,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/ToolString/ToolStringHandler/ConnectedEquipments.cpp,14231,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzFramework/Common/ToolString/ToolStringHandler/ConnectedEquipments.cpp,14232,Unspecified,FORWARD_NULL,Dismissed
